動物的流水編號,動物的區域編號,動物所屬縣市代碼,動物所屬收容所代碼,動物的實際所在地,動物的類型,動物性別,動物體型,動物毛色,動物年紀,是否絕育,是否施打狂犬病疫苗,動物尋獲地,動物網頁標題,動物狀態,資料備註,其他說明,開放認養時間(起),開放認養時間(迄),動物資料異動時間,動物資料建立時間,動物所屬收容所名稱,圖片名稱(原始名稱),圖片名稱,圖片base64編碼,異動時間,cDate,地址,聯絡電話,
10306270201293,103062413,2,49,臺北市,貓,F,MINI,三花,CHILD,F,N,玉成街140巷,,OPEN,,,2014-07-10,2999-12-31,2017-05-24 23:56:38,2014-06-27 15:11:23,臺北市動物之家,,http://animal-adoption.coa.gov.tw/uploads/animal_album/49/221fe785b7795ca613dcc370a63503ef.JPG,,,2017/5/24 下午 11:59:53,臺北市內湖區潭美街852號,02-87913254;02-87913255,
10306270201305,103062512,2,49,臺北市,貓,F,SMALL,灰白,CHILD,F,N,成功路3段,,OPEN,,,2014-07-10,2999-12-31,2017-05-24 23:56:24,2014-06-27 15:11:24,臺北市動物之家,,http://animal-adoption.coa.gov.tw/uploads/animal_album/49/785d4420aee88a0a483544011e91b3fb.JPG,,,2017/5/24 下午 11:59:54,臺北市內湖區潭美街852號,02-87913254;02-87913255,
10603290201007,106032912,2,49,臺北市,貓,F,MEDIUM,黑黃,ADULT,F,N,莊敬路,,OPEN,右剪耳 哈囉~我的名字叫淘淘，我想要一個安穩的家，認養我好嗎?,23419,2017-04-11,2999-12-31,2017-05-24 23:56:20,2017-03-29 15:34:45,臺北市動物之家,,http://animal-adoption.coa.gov.tw/uploads/animal_album/49/78c6efbea8f7964bbf88db586487c475.jpg,,,2017/5/25 上午 12:03:36,臺北市內湖區潭美街852號,02-87913254;02-87913255,
10604110601006,20170411006,6,61,,貓,F,SMALL,虎斑,CHILD,F,N,中壢區,,OPEN,,,2017-04-11,2999-12-31,2017-05-24 23:56:06,2017-04-11 16:50:19,桃園市動物保護教育園區,,http://animal-adoption.coa.gov.tw/uploads/animal_album/61/3432b401b5953b4eeb0769581b8d30ea.jpg,,,2017/5/25 上午 12:03:37,桃園市新屋區永興里大牛欄 117 號,03-4861760 傳真: (03)4861765,
10604110601007,20170411007,6,61,,貓,F,MEDIUM,虎斑,ADULT,F,N,平鎮區,,OPEN,,,2017-04-11,2999-12-31,2017-05-24 23:55:57,2017-04-11 16:50:19,桃園市動物保護教育園區,,http://animal-adoption.coa.gov.tw/uploads/animal_album/61/6b4feeca5934e3a53f1a61a3e50fdcfd.jpg,,,2017/5/25 上午 12:03:37,桃園市新屋區永興里大牛欄 117 號,03-4861760 傳真: (03)4861765,
10604170601025,20170417009,6,61,,貓,F,SMALL,虎斑,CHILD,F,N,中壢區,,OPEN,,,2017-04-17,2999-12-31,2017-05-24 23:55:46,2017-04-17 16:33:50,桃園市動物保護教育園區,,http://animal-adoption.coa.gov.tw/uploads/animal_album/61/7556988220be7664fa16de428ac40570.jpg,,,2017/5/25 上午 12:03:40,桃園市新屋區永興里大牛欄 117 號,03-4861760 傳真: (03)4861765,
10307040304001,中和20140704-1,3,53,新北市中和動物之家,貓,N,MINI,橘虎斑,CHILD,N,N,新北市土城區裕生路85號,,OPEN,,,2014-07-04,2999-12-31,2017-05-24 23:55:39,2014-07-04 13:49:12,新北市中和區公立動物之家 ,,http://animal-adoption.coa.gov.tw/uploads/animal_album/53/60ac6f089c7bd847559adf53c547ddd5.jpg,,,2017/5/24 下午 11:59:48,新北市中和區興南路三段100號,02-86685547,
10307190201151,103070506,2,49,臺北市,貓,F,MINI,虎斑白,CHILD,F,N,和平東路三段,,OPEN,,,2014-08-28,2999-12-31,2017-05-24 23:55:36,2014-07-19 18:34:11,臺北市動物之家,,http://animal-adoption.coa.gov.tw/uploads/animal_album/49/1409192298_49_ef234dc38b184cf99d88cbb726a3912c.jpg,,,2017/5/24 下午 11:59:58,臺北市內湖區潭美街852號,02-87913254;02-87913255,
10604140201004,106041404,2,49,臺北市,貓,M,MEDIUM,黃白,ADULT,T,N,康樂街,,OPEN,大家好，我是牛奶。 我已經完成絕育，正在等待新主人。 緊張的我常常不動如山， 希望你可以多來看看我不同的面向， 同時貓咪對環境的依賴性很高， 認養我就不要讓我壓力大、放棄我唷， 希望我有一個快樂溫暖的家^0^,23576,2017-04-24,2999-12-31,2017-05-24 23:55:25,2017-04-14 14:54:42,臺北市動物之家,,http://animal-adoption.coa.gov.tw/uploads/animal_album/49/c2349f9fb0514b6b794ae6ac94d16ee3.jpg,,,2017/5/25 上午 12:03:43,臺北市內湖區潭美街852號,02-87913254;02-87913255,
10307190201172,103070709,2,49,臺北市,貓,F,SMALL,黑白,CHILD,F,N,菁山路110巷,,OPEN,,,2014-09-04,2999-12-31,2017-05-24 23:55:22,2014-07-19 18:34:12,臺北市動物之家,,http://animal-adoption.coa.gov.tw/uploads/animal_album/49/1409216532_49_618fcf304dd6a697929e5ff556f77163.JPG,,,2017/5/24 下午 11:59:59,臺北市內湖區潭美街852號,02-87913254;02-87913255,
10604240201010,106042409,2,49,臺北市,貓,M,MEDIUM,虎斑白,ADULT,F,N,民族西路225巷,,OPEN,你好~我叫蛋頭，我的個性比較緊張，所以對我要慢慢來唷~讓我可以漸漸的敞開心房接納你~,23669,2017-04-27,2999-12-31,2017-05-24 23:55:16,2017-04-24 14:54:55,臺北市動物之家,,http://animal-adoption.coa.gov.tw/uploads/animal_album/49/fb3826320f3bb0bc310c76b9ba9f1993.jpg,,,2017/5/25 上午 12:03:44,臺北市內湖區潭美街852號,02-87913254;02-87913255,
10605010601009,20170430002,6,61,,貓,M,MEDIUM,虎斑,ADULT,F,N,中壢區,,OPEN,,,2017-05-01,2999-12-31,2017-05-24 23:55:03,2017-05-01 15:58:42,桃園市動物保護教育園區,,http://animal-adoption.coa.gov.tw/uploads/animal_album/61/5d3e0ef3f9fc0ef4db6967703cba498a.jpg,,,2017/5/25 上午 12:03:49,桃園市新屋區永興里大牛欄 117 號,03-4861760 傳真: (03)4861765,
10605220601011,20170520011,6,61,,狗,M,SMALL,黃,ADULT,F,N,桃園區,,OPEN,,,2017-05-22,2999-12-31,2017-05-24 23:55:02,2017-05-22 16:30:18,桃園市動物保護教育園區,,http://animal-adoption.coa.gov.tw/uploads/animal_album/61/8c71173bcb4433758e110cc687068994.jpg,,,2017/5/25 上午 12:04:05,桃園市新屋區永興里大牛欄 117 號,03-4861760 傳真: (03)4861765,
10604170201015,106041704,2,49,臺北市,貓,M,MEDIUM,黑,ADULT,F,N,富陽街,,OPEN,哈囉~我的名字叫富陽，帥氣的我，正在動物之家等帶您的到來唷! ,23613,2017-05-03,2999-12-31,2017-05-24 23:54:56,2017-04-17 15:45:01,臺北市動物之家,,http://animal-adoption.coa.gov.tw/uploads/animal_album/49/3012140de92831f44e06306f62ac3afe.jpg,,,2017/5/25 上午 12:03:50,臺北市內湖區潭美街852號,02-87913254;02-87913255,
10311080201004,103110812,2,49,臺北市,貓,F,SMALL,黃白,CHILD,F,N,民族街42巷,,OPEN,,14468,2014-11-12,2999-12-31,2017-05-24 23:54:44,2014-11-08 16:49:23,臺北市動物之家,,http://animal-adoption.coa.gov.tw/uploads/animal_album/49/c49ba9f8d623590c6439c2b6958deb46.jpg,,,2017/5/25 上午 12:00:09,臺北市內湖區潭美街852號,02-87913254;02-87913255,
10605031005001,10604140001,10,91,中途動物醫院,貓,F,SMALL,虎斑,ADULT,T,N,,,OPEN,我在豐原區 普羅旺斯動物醫院開放認養 歡迎來電詢問04-25287681,,2017-05-03,2999-12-31,2017-05-24 23:54:41,2017-05-03 14:42:54,臺中市中途動物醫院,,http://animal-adoption.coa.gov.tw/uploads/animal_album/91/977e415df679e094e8b03197a6d18ca3.png,,,2017/5/25 上午 12:03:50,,,
10605040601020,20170504012,6,61,,貓,M,SMALL,虎斑,CHILD,F,N,觀音區,,OPEN,,,2017-05-04,2999-12-31,2017-05-24 23:54:35,2017-05-04 16:42:27,桃園市動物保護教育園區,,http://animal-adoption.coa.gov.tw/uploads/animal_album/61/d448443ca3f6024221de9b08dd6c91fa.jpg,,,2017/5/25 上午 12:03:51,桃園市新屋區永興里大牛欄 117 號,03-4861760 傳真: (03)4861765,
10605040601024,20170504016,6,61,,貓,F,SMALL,虎斑,CHILD,F,N,觀音區,,OPEN,,,2017-05-04,2999-12-31,2017-05-24 23:54:24,2017-05-04 16:42:28,桃園市動物保護教育園區,,http://animal-adoption.coa.gov.tw/uploads/animal_album/61/184f5d76a94b86e6b910147646622c1f.jpg,,,2017/5/25 上午 12:03:51,桃園市新屋區永興里大牛欄 117 號,03-4861760 傳真: (03)4861765,
10406090201009,104060903,2,49,臺北市,貓,F,MINI,黃白,CHILD,F,N,秀山里秀山路50號,,OPEN,,16725,2015-06-10,2999-12-31,2017-05-24 23:54:20,2015-06-09 14:50:01,臺北市動物之家,,http://animal-adoption.coa.gov.tw/uploads/animal_album/49/e2a50bb163245f06985192b67f12b803.jpg,,,2017/5/25 上午 12:00:26,臺北市內湖區潭美街852號,02-87913254;02-87913255,
10605040601026,20170504018,6,61,,貓,F,SMALL,虎斑,CHILD,F,N,觀音區,,OPEN,,,2017-05-04,2999-12-31,2017-05-24 23:54:19,2017-05-04 16:42:28,桃園市動物保護教育園區,,http://animal-adoption.coa.gov.tw/uploads/animal_album/61/a3336171ded17ae2ea317141bc11fca4.jpg,,,2017/5/25 上午 12:03:51,桃園市新屋區永興里大牛欄 117 號,03-4861760 傳真: (03)4861765,
10605040601027,20170504019,6,61,,貓,F,SMALL,其他,CHILD,F,N,觀音區,,OPEN,,,2017-05-04,2999-12-31,2017-05-24 23:54:13,2017-05-04 16:42:28,桃園市動物保護教育園區,,http://animal-adoption.coa.gov.tw/uploads/animal_album/61/480bedc51c22c59b3020336d520d348a.jpg,,,2017/5/25 上午 12:03:52,桃園市新屋區永興里大牛欄 117 號,03-4861760 傳真: (03)4861765,
10605051701008,0503C4,17,75,高雄市壽山站動物保護教育園區,貓,M,BIG,黑,ADULT,N,N,鼓山區鼓山一路,,OPEN,,,2017-05-05,2999-12-31,2017-05-24 23:54:02,2017-05-05 08:52:10,高雄市壽山動物保護教育園區,,http://animal-adoption.coa.gov.tw/uploads/animal_album/75/9a0dff5d5d7df4bda500ed3e552e10d9.jpg,,,2017/5/25 上午 12:03:52,高雄市鼓山區萬壽路350號,07-5519059,
10605051701009,0503C4-1,17,75,高雄市壽山站動物保護教育園區,貓,F,BIG,黃,ADULT,N,N,鼓山區鼓山二路,,OPEN,,,2017-05-05,2999-12-31,2017-05-24 23:53:57,2017-05-05 08:52:19,高雄市壽山動物保護教育園區,,http://animal-adoption.coa.gov.tw/uploads/animal_album/75/2c9f116f1d964907b0059325b6deab79.jpg,,,2017/5/25 上午 12:03:52,高雄市鼓山區萬壽路350號,07-5519059,
10605091901003,10605091901003,19,79,花蓮縣流浪犬中途之家,貓,N,MINI,花色,CHILD,N,F,,,OPEN,進場日期：105/05/09 106/04/18所內生產 尚未離乳暫不開放認養,,2017-05-09,2999-12-31,2017-05-24 23:53:38,2017-05-09 09:59:37,花蓮縣流浪犬中途之家,,http://animal-adoption.coa.gov.tw/uploads/animal_album/79/8955700ccc145e27998ff14062c88cc3.JPG,,,2017/5/25 上午 12:03:54,花蓮縣吉安鄉南濱路1段599號,038-421452,
10605121301006,106-H006C,13,89,恩愛動物診所,貓,F,SMALL,灰白,CHILD,N,N,二崙鄉三和村,,OPEN,,,2017-05-12,2017-05-24,2017-05-24 23:53:26,2017-05-12 14:41:13,雲林縣流浪動物收容所,,http://animal-adoption.coa.gov.tw/uploads/animal_album/89/1494578842_89_c6d8264dbbad0ed944fbd7155a3464ec.JPG,,,2017/5/25 上午 12:03:58,雲林縣斗六市雲林路二段517號,公告動物均安置於代收容動物醫院，請洽該動物醫院或代養場洽詢辦,
10605151701004,0512C4-4,17,75,高雄市壽山站動物保護教育園區,貓,F,SMALL,虎斑,CHILD,F,N,鳳山區忠義街 ※5/12送動物醫院,,OPEN,,,2017-05-15,2999-12-31,2017-05-24 23:53:13,2017-05-15 16:16:54,高雄市壽山動物保護教育園區,,http://animal-adoption.coa.gov.tw/uploads/animal_album/75/31a865d699f4d1103fbea4e4b9d0d83e.jpg,,,2017/5/25 上午 12:03:59,高雄市鼓山區萬壽路350號,07-5519059,
10605161002006,10605160003,10,67,南屯園區,貓,F,SMALL,其他三花,ADULT,T,N,,,OPEN,,,2017-05-16,2999-12-31,2017-05-24 23:52:55,2017-05-16 12:41:48,臺中市動物之家南屯園區,,http://animal-adoption.coa.gov.tw/uploads/animal_album/67/bbb0ad591e68dcbf4617baf698a468e0.png,,,2017/5/25 上午 12:04:00,臺中市南屯區中台路601號,04-23850976,
10605182101008,106-5-17-c9,21,83,澎湖縣流浪動物收容中心,貓,F,MINI,三花 岱冒,CHILD,F,F,馬公市,,OPEN,,,2017-05-18,2999-12-31,2017-05-24 23:52:36,2017-05-18 15:44:59,澎湖縣流浪動物收容中心,,http://animal-adoption.coa.gov.tw/uploads/animal_album/83/c14cbb22d4b4b9d6621e2d4c0a77f530.jpg,,,2017/5/25 上午 12:04:01,澎湖縣馬公市烏崁里260號,06-9213559,
10605191301013,106-L024C,13,89,文志動物醫院,貓,M,SMALL,虎斑,CHILD,N,N,斗六市榮譽路,,OPEN,,,2017-05-19,2017-05-31,2017-05-24 23:52:16,2017-05-19 14:20:29,雲林縣流浪動物收容所,,http://animal-adoption.coa.gov.tw/uploads/animal_album/89/1495182094_89_e35c23d41f0a81eb511d03248941fa5b.JPG,,,2017/5/25 上午 12:04:02,雲林縣斗六市雲林路二段517號,公告動物均安置於代收容動物醫院，請洽該動物醫院或代養場洽詢辦,
10605191301016,106-L027C,13,89,文志動物醫院,貓,F,SMALL,虎斑白,CHILD,N,N,斗六市榮譽路,,OPEN,,,2017-05-19,2017-05-31,2017-05-24 23:52:10,2017-05-19 14:25:38,雲林縣流浪動物收容所,,http://animal-adoption.coa.gov.tw/uploads/animal_album/89/1495182095_89_165a1a73f36cffca4df19a1ca26477b3.JPG,,,2017/5/25 上午 12:04:02,雲林縣斗六市雲林路二段517號,公告動物均安置於代收容動物醫院，請洽該動物醫院或代養場洽詢辦,
10605241901002,1060310,19,79,花蓮縣流浪犬中途之家,狗,M,MEDIUM,棕色,CHILD,N,T,新城鄉,,OPEN,進場日期：106/05/24 注射：八合一 晶片：990000000209988,,2017-05-24,2999-12-31,2017-05-24 23:51:58,2017-05-24 14:39:47,花蓮縣流浪犬中途之家,,http://animal-adoption.coa.gov.tw/uploads/animal_album/79/559200b4151e22fac547bb48dae360b0.JPG,,,2017/5/25 上午 12:04:07,花蓮縣吉安鄉南濱路1段599號,038-421452,
10605191301015,106-L026C,13,89,文志動物醫院,貓,F,SMALL,虎斑,CHILD,N,N,斗六市榮譽路,,OPEN,,,2017-05-19,2017-05-31,2017-05-24 23:51:56,2017-05-19 14:23:57,雲林縣流浪動物收容所,,http://animal-adoption.coa.gov.tw/uploads/animal_album/89/1495182095_89_e48ded6622faa86fc8e414aa7d7bc8c5.JPG,,,2017/5/25 上午 12:04:02,雲林縣斗六市雲林路二段517號,公告動物均安置於代收容動物醫院，請洽該動物醫院或代養場洽詢辦,
10605241005003,10605130009,10,91,中途動物醫院,狗,M,MEDIUM,黃色,CHILD,T,N,,,OPEN,我在大里區 愛普生動物醫院開放認養 歡迎來電詢問04-24950118,,2017-05-24,2999-12-31,2017-05-24 23:51:49,2017-05-24 11:16:47,臺中市中途動物醫院,,http://animal-adoption.coa.gov.tw/uploads/animal_album/91/96a86356601975a759f7bd2e70ac49b5.png,,,2017/5/25 上午 12:04:07,,,
10407231002010,10407100001,10,67,南屯園區,貓,M,SMALL,白色,ADULT,T,N,,,OPEN,開園後(10:00)若超過兩位以上想認養同一隻毛小孩時，將等待15分鐘(即10:15)，進行抽籤決定順序，之後再以該順序第二次抽籤，抽出認養人。,,2015-07-23,2999-12-31,2017-05-24 23:51:44,2015-07-23 17:39:57,臺中市動物之家南屯園區,,http://animal-adoption.coa.gov.tw/uploads/animal_album/67/c5b1a52a34c934c00fd2350baa5ccf9a.png,,,2017/5/25 上午 12:00:31,臺中市南屯區中台路601號,04-23850976,
10605191301020,106-S001C,13,89,弘安動物醫院,貓,M,SMALL,橘色,ADULT,N,N,西螺鎮漢光里,,OPEN,,,2017-05-19,2017-05-31,2017-05-24 23:51:39,2017-05-19 14:34:41,雲林縣流浪動物收容所,,http://animal-adoption.coa.gov.tw/uploads/animal_album/89/1495182098_89_7b4bc63be3948079e90f8bc1bb161e7d.JPG,,,2017/5/25 上午 12:04:02,雲林縣斗六市雲林路二段517號,公告動物均安置於代收容動物醫院，請洽該動物醫院或代養場洽詢辦,
10604191002003,10602230011,10,67,南屯園區,狗,M,MEDIUM,黃色,CHILD,T,N,,,OPEN,,,2017-04-19,2999-12-31,2017-05-24 23:51:25,2017-04-19 12:15:38,臺中市動物之家南屯園區,,http://animal-adoption.coa.gov.tw/uploads/animal_album/67/e3cd65ee0abc69a8bf1fd316c0bd0255.png,,,2017/5/25 上午 12:03:41,臺中市南屯區中台路601號,04-23850976,
10605220601034,20170522013,6,61,,貓,M,MEDIUM,灰,ADULT,N,N,楊梅區,,OPEN,,,2017-05-22,2999-12-31,2017-05-24 23:51:21,2017-05-22 16:30:20,桃園市動物保護教育園區,,http://animal-adoption.coa.gov.tw/uploads/animal_album/61/a3aee8c3a419004110241a403fac7e6d.jpg,,,2017/5/25 上午 12:04:05,桃園市新屋區永興里大牛欄 117 號,03-4861760 傳真: (03)4861765,
10601250201001,106012501,2,49,臺北市,狗,M,MEDIUM,黃,CHILD,F,N,,,OPEN,我是小乖 對陌生人會有點害羞 但稍微互動熟悉後 我就會漸漸放開囉 而且會發現我其實很活潑呢 快來動物之家找我吧！,22883,2017-04-30,2999-12-31,2017-05-24 23:50:50,2017-01-25 12:49:59,臺北市動物之家,,http://animal-adoption.coa.gov.tw/uploads/animal_album/49/cac357d8fdb12ce6d262542d1376d75e.jpg,,,2017/5/25 上午 12:03:46,臺北市內湖區潭美街852號,02-87913254;02-87913255,
10509151005002,10508050021,10,91,中途動物醫院,貓,F,SMALL,虎斑,CHILD,T,N,,,OPEN,我在南屯區『信揚動物醫院』開放認養，歡迎來電詢問04-24751748,,2016-09-15,2999-12-31,2017-05-24 23:50:26,2016-09-15 12:57:02,臺中市中途動物醫院,,http://animal-adoption.coa.gov.tw/uploads/animal_album/91/c1ab1fbe730b583cbb75fa24b9c6b42f.jpg,,,2017/5/25 上午 12:02:18,,,
10605081005008,10604260018,10,91,中途動物醫院,狗,M,MEDIUM,其他米白,CHILD,T,N,,,OPEN,我在西區 美安動物醫院開放認養 歡迎來電詢問04-23026441,,2017-05-08,2999-12-31,2017-05-24 23:50:08,2017-05-08 10:53:18,臺中市中途動物醫院,,http://animal-adoption.coa.gov.tw/uploads/animal_album/91/aa6b26ea3a2da890b1e6db28f1302d18.png,,,2017/5/25 上午 12:03:53,,,
10605241901001,1060309,19,79,花蓮縣流浪犬中途之家,狗,M,MEDIUM,黑色,CHILD,N,T,新城鄉,,OPEN,進場日期：106/05/24 注射：八合一 晶片：990000000209982,,2017-05-24,2999-12-31,2017-05-24 23:49:16,2017-05-24 14:39:08,花蓮縣流浪犬中途之家,,http://animal-adoption.coa.gov.tw/uploads/animal_album/79/bf7acb0a556e5597ea01c03fe2010d9d.JPG,,,2017/5/25 上午 12:04:07,花蓮縣吉安鄉南濱路1段599號,038-421452,
10605181005001,10604140010,10,91,中途動物醫院,狗,F,MEDIUM,棕色,CHILD,T,N,,,OPEN,我在北區 庚欣動物醫院開放認養 歡迎來電詢問04-22319663,,2017-05-18,2999-12-31,2017-05-24 23:49:12,2017-05-18 15:10:21,臺中市中途動物醫院,,http://animal-adoption.coa.gov.tw/uploads/animal_album/91/bde1469c8b299993cf99e9af738e85c6.png,,,2017/5/25 上午 12:04:01,,,
10605191301021,106-S031D,13,89,弘安動物醫院,狗,M,SMALL,棕色,CHILD,N,N,西螺鎮漢光里,,OPEN,,,2017-05-19,2017-05-31,2017-05-24 23:48:55,2017-05-19 14:38:53,雲林縣流浪動物收容所,,http://animal-adoption.coa.gov.tw/uploads/animal_album/89/1495182099_89_253f876ec801c3c5623ecbaecc182cba.JPG,,,2017/5/25 上午 12:04:02,雲林縣斗六市雲林路二段517號,公告動物均安置於代收容動物醫院，請洽該動物醫院或代養場洽詢辦,
10304030201066,103040103,2,49,臺北市,狗,M,MINI,黑,CHILD,F,N,,,OPEN,犬瘟,,2014-04-03,2999-12-31,2017-05-24 23:48:52,2014-04-03 11:49:27,臺北市動物之家,,http://animal-adoption.coa.gov.tw/uploads/animal_album/49/1396497094_49_9440b445b7c55675d1aed3191fed037a.jpg,,,2017/5/24 下午 11:59:32,臺北市內湖區潭美街852號,02-87913254;02-87913255,
10411251201004,151028-641,12,70,南投縣公立動物收容所,狗,M,SMALL,黑色,CHILD,T,N,,,OPEN,,,2015-11-25,2999-12-31,2017-05-24 23:48:27,2015-11-25 15:16:49,南投縣公立動物收容所,,http://animal-adoption.coa.gov.tw/uploads/animal_album/70/1cb2707a3d1c181852d1da5d5d8f3691.jpg,,,2017/5/25 上午 12:00:51,南投縣南投市嶺興路36之1號,049-2225440,
10412171005001,10411280002,10,91,中途動物醫院,狗,F,MINI,黃色,ADULT,T,N,,,OPEN,我在百科動物醫院等待主人愛心認養喔~聯絡電話04-23055172,,2015-12-17,2999-12-31,2017-05-24 23:48:01,2015-12-17 18:12:25,臺中市中途動物醫院,,http://animal-adoption.coa.gov.tw/uploads/animal_album/91/5bc32deeb36a0f03aba5ca5d82449529.png,,,2017/5/25 上午 12:00:58,,,
10602240601016,20170224016,6,61,,狗,M,SMALL,黃,CHILD,F,N,楊梅區,,OPEN,,,2017-02-24,2999-12-31,2017-05-24 23:47:52,2017-02-24 15:52:40,桃園市動物保護教育園區,,http://animal-adoption.coa.gov.tw/uploads/animal_album/61/e6672671e17ac231797eb411926b269e.jpg,,,2017/5/25 上午 12:03:16,桃園市新屋區永興里大牛欄 117 號,03-4861760 傳真: (03)4861765,
10404221002008,10403310014,10,67,南屯園區,狗,M,MINI,黃白,ADULT,T,N,,,OPEN,,,2015-04-22,2999-12-31,2017-05-24 23:47:15,2015-04-22 16:14:01,臺中市動物之家南屯園區,,http://animal-adoption.coa.gov.tw/uploads/animal_album/67/be9e8d9b404c3c7f6e1e1ebcadbbd3fa.png,,,2017/5/25 上午 12:00:21,臺中市南屯區中台路601號,04-23850976,
